0;0;0
0;0;0
0;0;42
0;0;32
0;0;42
0;0;42
2;0.0119629;25
2;0.0476074;42
1;0.0891113;39
2;0.415039;37
2;2.14551;37
2;7.05566;34
2;13.8948;34
2;36.8096;32
1;53.2114;39
1;89.5825;32
1;129.804;44
1;182.89;44
1;260.571;44
1;394.644;42
1;463.346;44
1;613.369;44
2;612.052;32
0;0;32
0;0;32
0;0;41
3;656.737;32
1;656.737;25
2;775.905;44
2;847.252;44
1;847.252;25
2;847.252;29
2;847.252;42
2;847.252;41
1;847.252;41
0;0;37
0;0;41
2;743.65;20
2;753.231;32
2;1006.74;41
2;1089.33;42
2;1089.33;42
0;0;20
2;1041.61;32
2;1142.83;32
0;0;32
1;582.134;29
1;782.325;25
0;0;25
0;0;20
1;659.376;37
1;894.458;25
1;894.458;41
0;0;20
2;1205.29;44
2;1205.29;37
1;1205.29;37
1;1205.29;37
0;0;20
0;0;20
1;689.658;20
1;940.972;20
0;0;20
0;0;29
1;826.942;29
1;1038.25;42
1;1038.25;29
0;0;29
0;0;20
0;0;34
0;0;34
0;0;20
0;0;37
1;893.141;25
0;0;25
1;632.609;37
1;918.025;29
0;0;29
1;938.77;42
1;1039;42
0;0;32
0;0;32
0;0;34
1;652.444;32
0;0;32
0;0;32
1;558.658;32
0;0;32
1;877.289;32
0;0;32
0;0;29
0;0;29
1;740.227;29
2;1086.77;29
2;1132.96;29
0;0;29
1;630.073;20
1;778.624;42
1;1108.46;39
0;0;44
1;782.434;44
1;1029.36;39
1;1029.36;25
0;0;25
0;0;25
0;0;25
0;0;20
0;0;20
0;0;20
0;0;25
0;0;25
0;0;25
0;0;25
0;0;25
1;500.011;25
1;569.648;25
1;588.951;25
1;724.416;39
1;724.416;29
1;740.557;25
0;0;29
1;2602.61;37
1;2602.61;29
1;2602.61;37
1;3768.1;41
1;3768.1;42
0;0;32
1;2411.24;39
1;2411.24;39
2;2810.69;41
0;0;41
1;1147.63;42
2;4151.7;39
0;0;39
0;0;34
0;0;29
1;1001.42;44
1;1927.34;25
0;0;20
0;0;25
1;2837.59;32
0;0;37
0;0;32
2;2988.82;37
0;0;37
0;0;37
0;0;37
1;1042.15;37
0;0;41
